label,size,max_jacc_other,exclusivity
isi:0,294,0.6870748299319728,0.0374149659862673
start_flash_1:0,234,0.31196581196581197,0.07264957264926218
start_flash_1:1,47,0.746031746031746,0.0
end_flash_1:0,70,0.9571428571428572,0.0
end_flash_1:1,183,0.8360655737704918,0.0
end_flash_1:2,95,0.7368421052631579,0.04210526315745152
start_flash_2:0,163,0.4972972972972973,0.0
end_flash_2:0,114,0.7457627118644068,0.008771929824484456
end_flash_2:1,128,0.84375,0.0
end_flash_2:2,125,0.9765625,0.0
end_flash_2:3,120,0.967741935483871,0.0
end_flash_2:4,437,0.5789473684210527,0.013729977116673387
choice_start:0,295,0.7192118226600985,0.0
choice_start:1,510,0.7004341534008683,0.011764705882329873
choice_start:2,153,0.7189542483660131,0.05882352941138024
choice_start:3,131,0.7253521126760564,0.0
choice_start:4,248,0.48046875,0.00806451612899974
choice_start:5,403,0.7192118226600985,0.0
choice_start:6,227,0.6872246696035242,0.10132158590263736
lick_start:0,737,0.2775616083009079,0.3989145183169621
lick_start:1,326,0.5711206896551724,0.009202453987701833
lick_start:2,665,0.7004341534008683,0.09774436090210865
isi:comp0_pos,18,0.20967741935483872,0.0
isi:comp0_neg,202,0.6870748299319728,0.0
start_flash_1:comp0_pos,147,0.14754098360655737,0.20408163265167292
start_flash_1:comp0_neg,73,0.31196581196581197,0.0
start_flash_1:comp1_pos,63,0.746031746031746,0.0
start_flash_1:comp1_neg,157,0.7262569832402235,0.006369426751551788
end_flash_1:comp0_pos,67,0.9852941176470589,0.0
end_flash_1:comp0_neg,153,0.9426751592356688,0.0
end_flash_1:comp1_pos,68,0.9852941176470589,0.0
end_flash_1:comp1_neg,152,0.9426751592356688,0.0
end_flash_1:comp2_pos,66,0.8732394366197183,0.0
end_flash_1:comp2_neg,154,0.8273809523809523,0.0
start_flash_2:comp0_pos,67,0.4110429447852761,0.0
start_flash_2:comp0_neg,153,0.5026737967914439,0.0
end_flash_2:comp0_pos,82,0.7755102040816326,0.0
end_flash_2:comp0_neg,138,0.8732394366197183,0.0
end_flash_2:comp1_pos,108,0.84375,0.0
end_flash_2:comp1_neg,112,0.8515625,0.0
end_flash_2:comp2_pos,92,0.8,0.0
end_flash_2:comp2_neg,128,0.9765625,0.0
end_flash_2:comp3_pos,96,0.7,0.01041666666655816
end_flash_2:comp3_neg,124,0.967741935483871,0.0
end_flash_2:comp4_pos,137,0.4971751412429379,0.03649635036469711
end_flash_2:comp4_neg,83,0.5354330708661418,0.0
choice_start:comp0_pos,96,0.9108910891089109,0.0
choice_start:comp0_neg,124,0.9296875,0.0
choice_start:comp1_pos,94,0.6,0.010638297872227252
choice_start:comp1_neg,126,0.5403726708074534,0.0
choice_start:comp2_pos,110,0.7189542483660131,0.0
choice_start:comp2_neg,110,0.38421052631578945,0.054545454544958676
choice_start:comp3_pos,85,0.6915887850467289,0.0
choice_start:comp3_neg,135,0.823943661971831,0.0
choice_start:comp4_pos,97,0.9897959183673469,0.0
choice_start:comp4_neg,123,0.96,0.0
choice_start:comp5_pos,98,0.9897959183673469,0.0
choice_start:comp5_neg,122,0.96,0.0
choice_start:comp6_pos,156,0.6872246696035242,0.0
choice_start:comp6_neg,64,0.27007299270072993,0.12499999999804687
lick_start:comp0_pos,156,0.7245508982035929,0.0
lick_start:comp0_neg,64,0.6344086021505376,0.0
lick_start:comp1_pos,152,0.45077720207253885,0.0
lick_start:comp1_neg,68,0.49606299212598426,0.0
lick_start:comp2_pos,132,0.7245508982035929,0.0
lick_start:comp2_neg,88,0.6344086021505376,0.0
isi_phase:comp0_pos,57,0.8235294117647058,0.0
isi_phase:comp0_neg,163,0.8975903614457831,0.0
isi_phase:comp1_pos,65,0.2708333333333333,0.030769230768757396
isi_phase:comp1_neg,155,0.2966101694915254,0.14193548387005203
isi_phase:comp2_pos,73,0.9452054794520548,0.0
isi_phase:comp2_neg,147,0.9527027027027027,0.0
isi_phase:comp3_pos,69,0.9710144927536232,0.0
isi_phase:comp3_neg,151,0.9869281045751634,0.0
isi_phase:comp4_pos,68,0.9571428571428572,0.0
isi_phase:comp4_neg,152,0.967741935483871,0.0
isi_phase:comp5_pos,67,0.9710144927536232,0.0
isi_phase:comp5_neg,153,0.9869281045751634,0.0
isi_phase:comp6_pos,78,0.8875,0.0
isi_phase:comp6_neg,142,0.9527027027027027,0.0
isi_phase:comp7_pos,88,0.8863636363636364,0.0
isi_phase:comp7_neg,132,0.8896551724137931,0.0
